year,boro,incident_count
2022,STATEN ISLAND,28
2022,QUEENS,198
2022,MANHATTAN,211
2022,BROOKLYN,449
2022,BRONX,408
2021,STATEN ISLAND,37
2021,QUEENS,227
2021,MANHATTAN,251
2021,BROOKLYN,497
2021,BRONX,485
2020,STATEN ISLAND,40
2020,QUEENS,232
2020,MANHATTAN,204
2020,BROOKLYN,630
2020,BRONX,376
2019,STATEN ISLAND,24
2019,QUEENS,122
2019,MANHATTAN,116
2019,BROOKLYN,281
2019,BRONX,211
2018,STATEN ISLAND,19
2018,QUEENS,110
2018,MANHATTAN,86
2018,BROOKLYN,301
2018,BRONX,220
2017,STATEN ISLAND,40
2017,QUEENS,119
2017,MANHATTAN,99
2017,BROOKLYN,278
2017,BRONX,219
2016,STATEN ISLAND,36
2016,QUEENS,152
2016,MANHATTAN,139
2016,BROOKLYN,398
2016,BRONX,243
2015,STATEN ISLAND,40
2015,QUEENS,161
2015,MANHATTAN,132
2015,BROOKLYN,460
2015,BRONX,314
2014,STATEN ISLAND,37
2014,QUEENS,155
2014,MANHATTAN,105
2014,BROOKLYN,509
2014,BRONX,337
2013,STATEN ISLAND,42
2013,QUEENS,155
2013,MANHATTAN,112
2013,BROOKLYN,467
2013,BRONX,296
2012,STATEN ISLAND,38
2012,QUEENS,223
2012,MANHATTAN,148
2012,BROOKLYN,522
2012,BRONX,396
2011,STATEN ISLAND,36
2011,QUEENS,210
2011,MANHATTAN,172
2011,BROOKLYN,631
2011,BRONX,421
2010,STATEN ISLAND,26
2010,QUEENS,192
2010,MANHATTAN,192
2010,BROOKLYN,616
2010,BRONX,393
2009,STATEN ISLAND,39
2009,QUEENS,209
2009,MANHATTAN,141
2009,BROOKLYN,594
2009,BRONX,387
2008,STATEN ISLAND,48
2008,QUEENS,251
2008,MANHATTAN,179
2008,BROOKLYN,604
2008,BRONX,391
2007,STATEN ISLAND,39
2007,QUEENS,187
2007,MANHATTAN,166
2007,BROOKLYN,641
2007,BRONX,361
2006,STATEN ISLAND,32
2006,QUEENS,231
2006,MANHATTAN,209
2006,BROOKLYN,650
2006,BRONX,385
